,Costs
619,50929.0
620,49444.0
621,49885.0
622,48868.0
623,50479.0
624,50767.0
625,50119.0
626,49084.0
627,49489.0
628,51379.0
629,48679.0
630,48643.0
631,50911.0
632,49480.0
633,52027.0
634,48670.0
635,51424.0
636,49750.0
637,50875.0
638,48778.0
639,47995.0
640,50992.0
641,50128.0
642,48229.0
643,49021.0
644,50749.0
645,49930.0
646,51982.0
647,52792.0
648,50101.0
649,50812.0
650,49966.0
651,49705.0
652,51757.0
653,50173.0
654,50695.0
655,49984.0
656,48886.0
657,51307.0
658,50164.0
659,48040.0
660,50209.0
661,50155.0
662,51460.0
663,50002.0
664,48400.0
665,50092.0
666,49165.0
667,49579.0
668,49840.0
669,49867.0
670,52234.0
671,50344.0
672,50344.0
673,49885.0
674,50605.0
675,51937.0
676,50632.0
677,49525.0
678,48742.0
679,50938.0
680,48688.0
681,48814.0
682,49624.0
683,50155.0
684,51280.0
685,49066.0
686,50488.0
687,51073.0
688,51271.0
689,48283.0
690,52936.0
691,49264.0
692,50317.0
693,49237.0
694,47617.0
695,49903.0
696,48787.0
697,50533.0
698,51163.0
699,48472.0
700,50299.0
701,50254.0
702,51280.0
703,51082.0
704,51181.0
705,50569.0
706,47230.0
707,49696.0
708,49930.0
709,49138.0
710,50407.0
711,51568.0
712,51028.0
713,51082.0
714,49534.0
715,50245.0
716,51712.0
717,48787.0
718,49804.0
719,49921.0
720,50416.0
721,49588.0
722,51478.0
723,48805.0
724,48229.0
725,50578.0
726,50110.0
727,49489.0
728,49669.0
729,49228.0
730,50407.0
731,50362.0
732,49759.0
733,49345.0
734,48418.0
735,51100.0
736,50173.0
737,49993.0
738,50362.0
739,49381.0
740,49903.0
741,49831.0
742,50281.0
743,48814.0
744,50263.0
745,49876.0
746,50965.0
747,49939.0
748,49732.0
749,50137.0
750,49318.0
751,50308.0
752,51667.0
753,48292.0
754,50965.0
755,51190.0
756,49561.0
757,47734.0
758,48679.0
759,49075.0
760,49894.0
761,49633.0
762,48292.0
763,49228.0
764,50425.0
765,50515.0
766,48616.0
767,50299.0
768,49309.0
769,50425.0
770,51649.0
771,48346.0
772,49885.0
773,49651.0
774,50074.0
775,47275.0
776,50452.0
777,50803.0
778,50254.0
779,49552.0
780,50173.0
781,50425.0
782,50425.0
783,48040.0
784,49606.0
785,49471.0
