,Costs
1265,78685.0
1266,77137.0
1267,76048.0
1268,74896.0
1269,78766.0
1270,76570.0
1271,79090.0
1272,77290.0
1273,79954.0
1274,75571.0
1275,78964.0
1276,74482.0
1277,76678.0
1278,77110.0
1279,75049.0
1280,77560.0
1281,77209.0
1282,77686.0
1283,77992.0
1284,74410.0
1285,77083.0
1286,78991.0
1287,77551.0
1288,74464.0
1289,78757.0
1290,77947.0
1291,73186.0
1292,76228.0
1293,77875.0
1294,76246.0
1295,75823.0
1296,77596.0
1297,75031.0
1298,74302.0
1299,75337.0
1300,75139.0
1301,78613.0
1302,77335.0
1303,76651.0
1304,78703.0
1305,76750.0
1306,77641.0
1307,76705.0
1308,76075.0
1309,76300.0
1310,76192.0
1311,77533.0
1312,78577.0
1313,76543.0
1314,75220.0
1315,76507.0
1316,76516.0
1317,79675.0
1318,78271.0
1319,77353.0
1320,79162.0
1321,76993.0
1322,75517.0
1323,76588.0
1324,76705.0
1325,76786.0
1326,77425.0
1327,76642.0
1328,77830.0
1329,78856.0
1330,77335.0
1331,79495.0
1332,74563.0
1333,76327.0
1334,77983.0
1335,76120.0
1336,79126.0
1337,78325.0
1338,75211.0
1339,75823.0
1340,76624.0
1341,78820.0
1342,75310.0
1343,78685.0
1344,74122.0
1345,78820.0
1346,78217.0
1347,76714.0
1348,75967.0
1349,78460.0
1350,75445.0
1351,76390.0
1352,77128.0
1353,76300.0
1354,78955.0
1355,78496.0
1356,75571.0
1357,76507.0
1358,77407.0
1359,73492.0
1360,78253.0
1361,81853.0
1362,78667.0
1363,79117.0
1364,78757.0
1365,78694.0
1366,77857.0
1367,77254.0
1368,77101.0
1369,76759.0
1370,75976.0
1371,75994.0
1372,77659.0
1373,76867.0
1374,74230.0
1375,75148.0
1376,76129.0
1377,74347.0
1378,77317.0
1379,78838.0
1380,77785.0
1381,76318.0
1382,78217.0
1383,78370.0
1384,77317.0
1385,78064.0
1386,78568.0
1387,75301.0
1388,80314.0
1389,76966.0
1390,75067.0
1391,75445.0
1392,75211.0
1393,77299.0
1394,78703.0
1395,78838.0
1396,78838.0
1397,76003.0
1398,77389.0
1399,76939.0
1400,77758.0
1401,77038.0
1402,79045.0
1403,75931.0
1404,77227.0
1405,76417.0
1406,76174.0
1407,77074.0
1408,76660.0
1409,77452.0
1410,78442.0
1411,78208.0
1412,76651.0
1413,73744.0
1414,78460.0
1415,76678.0
1416,76768.0
1417,77749.0
1418,76732.0
1419,76345.0
1420,77209.0
1421,77209.0
1422,74554.0
1423,77398.0
1424,80116.0
1425,79504.0
1426,74806.0
1427,77299.0
1428,75553.0
1429,78361.0
1430,77911.0
1431,78127.0
1432,70738.0
1433,76858.0
1434,78316.0
1435,76732.0
1436,75769.0
1437,79189.0
1438,78649.0
1439,76525.0
1440,80269.0
1441,76120.0
1442,80152.0
1443,76300.0
1444,77272.0
1445,78946.0
1446,78316.0
1447,74302.0
1448,77776.0
1449,79783.0
1450,76219.0
1451,78163.0
1452,76903.0
1453,75688.0
1454,77911.0
1455,77443.0
1456,77155.0
1457,75076.0
1458,75202.0
1459,75139.0
1460,77713.0
1461,77263.0
1462,80152.0
1463,75400.0
1464,74761.0
1465,75598.0
1466,78271.0
1467,77155.0
1468,77182.0
1469,79900.0
1470,77929.0
1471,76795.0
1472,76030.0
1473,80782.0
1474,74806.0
1475,75103.0
1476,77353.0
1477,78847.0
1478,77578.0
1479,78379.0
1480,74824.0
1481,75031.0
1482,76390.0
1483,74608.0
1484,77767.0
1485,75967.0
1486,77182.0
1487,78766.0
1488,77191.0
1489,78622.0
1490,78856.0
1491,75625.0
1492,77524.0
1493,76993.0
1494,76480.0
1495,76471.0
1496,77326.0
1497,77020.0
1498,76561.0
1499,75589.0
1500,77758.0
1501,76597.0
1502,77110.0
1503,78370.0
1504,76813.0
1505,77560.0
1506,77479.0
1507,73546.0
1508,76489.0
1509,76093.0
1510,73834.0
1511,77182.0
1512,78703.0
1513,77884.0
1514,77947.0
1515,75427.0
1516,74554.0
1517,78784.0
1518,78163.0
1519,80611.0
1520,76471.0
1521,76039.0
1522,79882.0
1523,77704.0
1524,78433.0
1525,76039.0
1526,73519.0
1527,76777.0
1528,74752.0
1529,75337.0
1530,77677.0
1531,77452.0
1532,78397.0
1533,74131.0
1534,79027.0
1535,78127.0
1536,77155.0
1537,72322.0
1538,76381.0
1539,78370.0
1540,77092.0
1541,78730.0
1542,79360.0
1543,79279.0
1544,80557.0
1545,79378.0
1546,78865.0
1547,76579.0
1548,77254.0
1549,76714.0
1550,79909.0
1551,78874.0
1552,76588.0
1553,78568.0
1554,76471.0
1555,75832.0
1556,74950.0
1557,78487.0
1558,77371.0
1559,78460.0
1560,76264.0
1561,77560.0
1562,76381.0
1563,78127.0
1564,74320.0
1565,79027.0
1566,77407.0
1567,78964.0
1568,77722.0
1569,74860.0
1570,78280.0
1571,76084.0
1572,74554.0
1573,76624.0
1574,75652.0
1575,78262.0
1576,76759.0
1577,78190.0
1578,74401.0
1579,77569.0
1580,76327.0
1581,74194.0
1582,74905.0
1583,76813.0
1584,78460.0
1585,77146.0
1586,76129.0
1587,76759.0
1588,76696.0
1589,76147.0
1590,72484.0
1591,76525.0
1592,78514.0
1593,75967.0
1594,76660.0
1595,78199.0
1596,76408.0
1597,76444.0
1598,81088.0
1599,77434.0
1600,77812.0
1601,76714.0
1602,78172.0
1603,76165.0
1604,78208.0
1605,77272.0
1606,75760.0
1607,76237.0
1608,75886.0
1609,76921.0
1610,74626.0
1611,77272.0
1612,78235.0
1613,78028.0
1614,76579.0
1615,77605.0
1616,78730.0
1617,78577.0
1618,77722.0
1619,74383.0
1620,76615.0
1621,79972.0
1622,79558.0
1623,78190.0
1624,77299.0
1625,80548.0
1626,75400.0
1627,77686.0
1628,79099.0
1629,80908.0
1630,76363.0
1631,77371.0
1632,76084.0
1633,74815.0
1634,77614.0
1635,74437.0
1636,75310.0
1637,77353.0
1638,78505.0
1639,76039.0
1640,79621.0
1641,76903.0
1642,78730.0
1643,77074.0
1644,76066.0
1645,79018.0
1646,78109.0
1647,78145.0
1648,77929.0
1649,78163.0
1650,77821.0
1651,76669.0
1652,77326.0
1653,80089.0
1654,77344.0
1655,79036.0
1656,75319.0
1657,75976.0
1658,79225.0
1659,77137.0
1660,73537.0
1661,78163.0
1662,76831.0
1663,75751.0
1664,78604.0
1665,79162.0
1666,78658.0
1667,76084.0
1668,80215.0
1669,76795.0
1670,76273.0
1671,75139.0
1672,77641.0
1673,75571.0
1674,75895.0
1675,78010.0
1676,81817.0
1677,78019.0
1678,77641.0
1679,77704.0
1680,79351.0
1681,78982.0
1682,79036.0
1683,76408.0
1684,76084.0
1685,75913.0
1686,77218.0
1687,79558.0
1688,76588.0
1689,76867.0
1690,77002.0
1691,78127.0
1692,75643.0
1693,78559.0
1694,76822.0
1695,76840.0
1696,78298.0
1697,77758.0
1698,78316.0
1699,80287.0
1700,75382.0
1701,76966.0
1702,78550.0
1703,74905.0
1704,76885.0
1705,78262.0
1706,74113.0
1707,79783.0
1708,80467.0
1709,74275.0
1710,77695.0
1711,76984.0
1712,78019.0
1713,78163.0
1714,76687.0
1715,76696.0
1716,75445.0
1717,77344.0
1718,79459.0
1719,78937.0
1720,76651.0
1721,77038.0
1722,75535.0
1723,78901.0
1724,76597.0
1725,78901.0
1726,77902.0
1727,76399.0
1728,78649.0
1729,77524.0
1730,78793.0
1731,75211.0
1732,77722.0
1733,76804.0
1734,75724.0
1735,77245.0
1736,77569.0
1737,78586.0
1738,78082.0
1739,76948.0
1740,78658.0
1741,76471.0
1742,75031.0
1743,75787.0
1744,74248.0
1745,76606.0
1746,77308.0
1747,78802.0
1748,78658.0
1749,77929.0
1750,78262.0
1751,77155.0
1752,76813.0
1753,74536.0
1754,76894.0
1755,75229.0
1756,78154.0
1757,76327.0
1758,73258.0
1759,77245.0
1760,81790.0
1761,75229.0
1762,76876.0
1763,76723.0
1764,77146.0
1765,74842.0
1766,77245.0
1767,79405.0
1768,76579.0
1769,79648.0
1770,77569.0
1771,75760.0
1772,76516.0
1773,78028.0
1774,76615.0
1775,75274.0
1776,78127.0
1777,75715.0
1778,78424.0
1779,75706.0
1780,79216.0
1781,77092.0
1782,76165.0
1783,77389.0
1784,76894.0
1785,76237.0
1786,78316.0
1787,75724.0
1788,78442.0
1789,79045.0
1790,77902.0
1791,74860.0
1792,78802.0
1793,77722.0
1794,78937.0
1795,76516.0
1796,75967.0
1797,76939.0
1798,79027.0
1799,78262.0
1800,75967.0
1801,75553.0
1802,77812.0
1803,79414.0
1804,75580.0
1805,77173.0
1806,78163.0
1807,78100.0
1808,75967.0
1809,75661.0
1810,77659.0
1811,77362.0
1812,78334.0
1813,77137.0
1814,77785.0
1815,76471.0
1816,77416.0
1817,76615.0
1818,76678.0
1819,76651.0
1820,78586.0
1821,78118.0
1822,79189.0
1823,74698.0
1824,78190.0
1825,79378.0
1826,76660.0
1827,77749.0
1828,77011.0
1829,75229.0
1830,74797.0
1831,80530.0
1832,74275.0
1833,78055.0
1834,75238.0
1835,77110.0
1836,77335.0
1837,73492.0
1838,76588.0
1839,75823.0
1840,77236.0
1841,76642.0
1842,74932.0
1843,78739.0
1844,75940.0
1845,76804.0
1846,79261.0
1847,74932.0
1848,76336.0
1849,79054.0
1850,77758.0
1851,75508.0
1852,76471.0
1853,76237.0
1854,79630.0
1855,76102.0
1856,80503.0
1857,78712.0
1858,78775.0
1859,75877.0
1860,73897.0
1861,77227.0
1862,79963.0
1863,75832.0
1864,76660.0
1865,77191.0
