,Costs
981,47491.0
982,49354.0
983,50038.0
984,51676.0
985,52153.0
986,49435.0
987,49480.0
988,51325.0
989,51667.0
990,49273.0
991,51487.0
992,48868.0
993,49255.0
994,49048.0
995,50218.0
996,51640.0
997,47419.0
998,48553.0
999,50317.0
1000,50731.0
1001,49345.0
1002,51343.0
1003,49759.0
1004,50020.0
1005,51415.0
1006,49381.0
1007,49876.0
1008,50713.0
1009,50182.0
1010,49786.0
1011,50065.0
1012,50425.0
1013,50470.0
1014,49849.0
1015,48085.0
1016,50263.0
1017,50038.0
1018,49435.0
1019,50956.0
1020,50344.0
1021,51136.0
1022,49165.0
1023,48661.0
1024,49291.0
1025,49678.0
1026,49003.0
1027,49696.0
1028,49192.0
1029,49822.0
1030,49111.0
1031,51181.0
1032,50074.0
1033,50740.0
1034,50425.0
1035,49453.0
1036,48535.0
1037,49678.0
1038,49768.0
1039,50002.0
1040,49057.0
1041,49777.0
1042,50380.0
1043,50533.0
1044,51046.0
1045,50092.0
1046,49561.0
1047,51172.0
1048,49660.0
1049,49156.0
1050,49714.0
1051,49741.0
1052,48202.0
1053,51874.0
1054,49804.0
1055,48517.0
1056,48832.0
1057,50479.0
1058,51163.0
1059,48904.0
1060,48562.0
1061,49165.0
1062,50308.0
1063,49939.0
1064,48742.0
1065,49453.0
1066,49039.0
1067,48418.0
1068,49282.0
1069,49615.0
1070,48985.0
1071,48634.0
1072,50056.0
1073,48346.0
1074,50506.0
1075,50479.0
1076,49894.0
1077,50731.0
1078,49129.0
1079,49930.0
1080,50983.0
1081,50065.0
1082,50083.0
1083,50731.0
1084,49174.0
1085,51100.0
1086,50839.0
1087,50686.0
1088,50263.0
1089,48832.0
1090,51541.0
1091,50380.0
1092,48697.0
1093,48562.0
1094,49030.0
1095,49849.0
1096,48850.0
1097,48355.0
1098,48751.0
1099,49273.0
1100,49642.0
1101,48949.0
1102,50182.0
1103,48274.0
1104,49975.0
1105,49948.0
1106,50938.0
1107,49786.0
1108,50020.0
1109,48175.0
1110,48832.0
1111,51523.0
1112,50137.0
1113,51757.0
1114,50497.0
1115,49903.0
1116,49534.0
1117,50821.0
1118,50092.0
1119,49210.0
1120,46348.0
1121,49795.0
1122,49759.0
1123,50641.0
1124,50470.0
1125,49966.0
1126,51811.0
1127,50443.0
1128,51514.0
1129,49624.0
1130,50029.0
1131,51685.0
1132,49804.0
1133,48877.0
1134,49768.0
1135,50425.0
1136,47878.0
1137,48247.0
1138,50533.0
1139,49255.0
1140,50974.0
1141,50083.0
1142,47779.0
1143,49633.0
1144,47554.0
1145,50236.0
1146,50119.0
1147,48346.0
1148,49939.0
1149,49660.0
1150,49813.0
1151,48373.0
1152,50254.0
1153,49264.0
1154,49426.0
1155,51559.0
1156,50605.0
1157,48598.0
1158,48085.0
1159,47905.0
1160,49588.0
1161,49966.0
1162,48904.0
1163,50146.0
1164,50776.0
1165,49507.0
1166,49786.0
1167,50398.0
1168,51442.0
1169,50452.0
1170,50245.0
1171,49354.0
1172,51325.0
1173,50605.0
1174,50299.0
1175,50956.0
1176,49867.0
1177,50767.0
1178,49552.0
1179,50767.0
1180,49633.0
1181,49309.0
1182,48976.0
1183,49750.0
1184,51217.0
1185,50551.0
1186,47626.0
1187,49795.0
1188,49822.0
1189,49606.0
1190,48130.0
1191,49561.0
1192,50182.0
1193,49075.0
1194,49633.0
1195,48985.0
1196,50596.0
1197,50047.0
1198,49633.0
1199,50425.0
1200,50497.0
1201,49876.0
1202,49480.0
1203,51289.0
1204,48922.0
1205,49957.0
1206,50596.0
1207,50605.0
1208,49768.0
1209,50290.0
1210,51280.0
1211,49579.0
1212,48220.0
1213,50848.0
1214,49714.0
1215,48661.0
1216,49957.0
1217,49417.0
1218,49750.0
1219,52378.0
1220,50344.0
1221,49489.0
1222,49498.0
1223,49084.0
1224,51154.0
1225,50119.0
1226,49192.0
1227,49651.0
1228,49786.0
1229,50164.0
1230,50200.0
1231,50866.0
1232,52351.0
1233,50173.0
1234,51415.0
1235,51091.0
1236,48598.0
1237,52027.0
1238,49741.0
1239,49894.0
1240,49939.0
1241,50920.0
1242,51739.0
1243,48913.0
1244,50272.0
1245,51478.0
1246,49246.0
1247,48004.0
1248,49516.0
1249,50056.0
1250,49291.0
1251,50884.0
1252,50470.0
1253,48238.0
1254,49444.0
1255,50470.0
1256,48103.0
1257,48652.0
1258,52162.0
1259,49093.0
1260,50614.0
1261,51379.0
1262,49399.0
1263,50767.0
1264,49588.0
1265,49498.0
1266,46987.0
1267,47482.0
1268,49867.0
1269,49417.0
1270,51568.0
1271,50317.0
1272,47734.0
1273,50128.0
1274,47725.0
1275,50353.0
1276,49417.0
1277,49543.0
1278,87.22
